DateKey,Date,CalendarYear,CalendarQuarter,Month
20110227,2023-02-27,2011,1,February
20110228,2023-02-28,2011,1,February
20110301,2023-03-01,2011,1,March
20110302,2023-03-02,2011,1,March
20110303,2023-03-03,2011,1,March
20110304,2023-03-04,2011,1,March
20110305,2023-03-05,2011,1,March
20110306,2023-03-06,2011,1,March
20110307,2023-03-07,2011,1,March
20110308,2023-03-08,2011,1,March
20110309,2023-03-09,2011,1,March
20110310,2023-03-10,2011,1,March
20110311,2023-03-11,2011,1,March
20110312,2023-03-12,2011,1,March
20110313,2023-03-13,2011,1,March
20110314,2023-03-14,2011,1,March
20110315,2023-03-15,2011,1,March
20110316,2023-03-16,2011,1,March
20110317,2023-03-17,2011,1,March
20110318,2023-03-18,2011,1,March
20110319,2023-03-19,2011,1,March
20110320,2023-03-20,2011,1,March
20110321,2023-03-21,2011,1,March
20110322,2023-03-22,2011,1,March
20110323,2023-03-23,2011,1,March
20110324,2023-03-24,2011,1,March
20110325,2023-03-25,2011,1,March
20110326,2023-03-26,2011,1,March
20110327,2023-03-27,2011,1,March
20110328,2023-03-28,2011,1,March
20110329,2023-03-29,2011,1,March
20110330,2023-03-30,2011,1,March
20110331,2023-03-31,2011,1,March
20110401,2023-04-01,2011,2,April
20110402,2023-04-02,2011,2,April
20110403,2023-04-03,2011,2,April
20110404,2023-04-04,2011,2,April
20110405,2023-04-05,2011,2,April
20110406,2023-04-06,2011,2,April
20110407,2023-04-07,2011,2,April
20110408,2023-04-08,2011,2,April
20110409,2023-04-09,2011,2,April
20110410,2023-04-10,2011,2,April
20110411,2023-04-11,2011,2,April
20110412,2023-04-12,2011,2,April
20110413,2023-04-13,2011,2,April
20110414,2023-04-14,2011,2,April
20110415,2023-04-15,2011,2,April
20110416,2023-04-16,2011,2,April
20110417,2023-04-17,2011,2,April
20110418,2023-04-18,2011,2,April
20110419,2023-04-19,2011,2,April
20110420,2023-04-20,2011,2,April
20110421,2023-04-21,2011,2,April
20110422,2023-04-22,2011,2,April
20110423,2023-04-23,2011,2,April
20110424,2023-04-24,2011,2,April
20110425,2023-04-25,2011,2,April
20110426,2023-04-26,2011,2,April
20110427,2023-04-27,2011,2,April
20110428,2023-04-28,2011,2,April
20110429,2023-04-29,2011,2,April
20110430,2023-04-30,2011,2,April
20110501,2023-05-01,2011,2,May
20110502,2023-05-02,2011,2,May
20110503,2023-05-03,2011,2,May
20110504,2023-05-04,2011,2,May
20110505,2023-05-05,2011,2,May
20110506,2023-05-06,2011,2,May
20110507,2023-05-07,2011,2,May
20110508,2023-05-08,2011,2,May
20110509,2023-05-09,2011,2,May
20110510,2023-05-10,2011,2,May
20110511,2023-05-11,2011,2,May
20110512,2023-05-12,2011,2,May
20110513,2023-05-13,2011,2,May
20110514,2023-05-14,2011,2,May
20110515,2023-05-15,2011,2,May
20110516,2023-05-16,2011,2,May
20110517,2023-05-17,2011,2,May
20110518,2023-05-18,2011,2,May
20110519,2023-05-19,2011,2,May
20110520,2023-05-20,2011,2,May
20110521,2023-05-21,2011,2,May
20110522,2023-05-22,2011,2,May
20110523,2023-05-23,2011,2,May
20110524,2023-05-24,2011,2,May
20110525,2023-05-25,2011,2,May
20110526,2023-05-26,2011,2,May
20110527,2023-05-27,2011,2,May
20110528,2023-05-28,2011,2,May
20110529,2023-05-29,2011,2,May
20110530,2023-05-30,2011,2,May
20110531,2023-05-31,2011,2,May
20110601,2023-06-01,2011,2,June
20110602,2023-06-02,2011,2,June
20110603,2023-06-03,2011,2,June
20110604,2023-06-04,2011,2,June
20110605,2023-06-05,2011,2,June
20110606,2023-06-06,2011,2,June
20110607,2023-06-07,2011,2,June
20110608,2023-06-08,2011,2,June
20110609,2023-06-09,2011,2,June
20110610,2023-06-10,2011,2,June
20110611,2023-06-11,2011,2,June
20110612,2023-06-12,2011,2,June
20110613,2023-06-13,2011,2,June
20110614,2023-06-14,2011,2,June
20110615,2023-06-15,2011,2,June
20110616,2023-06-16,2011,2,June
20110617,2023-06-17,2011,2,June
20110618,2023-06-18,2011,2,June
20110619,2023-06-19,2011,2,June
20110620,2023-06-20,2011,2,June
20110621,2023-06-21,2011,2,June
20110622,2023-06-22,2011,2,June
20110623,2023-06-23,2011,2,June
20110624,2023-06-24,2011,2,June
20110625,2023-06-25,2011,2,June
20110626,2023-06-26,2011,2,June
20110627,2023-06-27,2011,2,June
20110628,2023-06-28,2011,2,June
20110629,2023-06-29,2011,2,June
20110630,2023-06-30,2011,2,June
20110701,2023-07-01,2011,3,July
20110702,2023-07-02,2011,3,July
20110703,2023-07-03,2011,3,July
20110704,2023-07-04,2011,3,July
20110705,2023-07-05,2011,3,July
20110706,2023-07-06,2011,3,July
20110707,2023-07-07,2011,3,July
20110708,2023-07-08,2011,3,July
20110709,2023-07-09,2011,3,July
20110710,2023-07-10,2011,3,July
20110711,2023-07-11,2011,3,July
20110712,2023-07-12,2011,3,July
20110713,2023-07-13,2011,3,July
20110714,2023-07-14,2011,3,July
20110715,2023-07-15,2011,3,July
20110716,2023-07-16,2011,3,July
20110717,2023-07-17,2011,3,July
20110718,2023-07-18,2011,3,July
20110719,2023-07-19,2011,3,July
20110720,2023-07-20,2011,3,July
20110721,2023-07-21,2011,3,July
20110722,2023-07-22,2011,3,July
20110723,2023-07-23,2011,3,July
20110724,2023-07-24,2011,3,July
20110725,2023-07-25,2011,3,July
20110726,2023-07-26,2011,3,July
20110727,2023-07-27,2011,3,July
20110728,2023-07-28,2011,3,July
20110729,2023-07-29,2011,3,July
20110730,2023-07-30,2011,3,July
20110731,2023-07-31,2011,3,July
20110801,2023-08-01,2011,3,August
20110802,2023-08-02,2011,3,August
20110803,2023-08-03,2011,3,August
20110804,2023-08-04,2011,3,August
20110805,2023-08-05,2011,3,August
20110806,2023-08-06,2011,3,August
20110807,2023-08-07,2011,3,August
20110808,2023-08-08,2011,3,August
20110809,2023-08-09,2011,3,August
20110810,2023-08-10,2011,3,August
20110811,2023-08-11,2011,3,August
20110812,2023-08-12,2011,3,August
20110813,2023-08-13,2011,3,August
20110814,2023-08-14,2011,3,August
20110815,2023-08-15,2011,3,August
20110816,2023-08-16,2011,3,August
20110817,2023-08-17,2011,3,August
20110818,2023-08-18,2011,3,August
20110819,2023-08-19,2011,3,August
20110820,2023-08-20,2011,3,August
20110821,2023-08-21,2011,3,August
20110822,2023-08-22,2011,3,August
20110823,2023-08-23,2011,3,August
20110824,2023-08-24,2011,3,August
20110825,2023-08-25,2011,3,August
20110826,2023-08-26,2011,3,August
20110827,2023-08-27,2011,3,August
20110828,2023-08-28,2011,3,August
20110829,2023-08-29,2011,3,August
20110830,2023-08-30,2011,3,August
20110831,2023-08-31,2011,3,August
20110901,2023-09-01,2011,3,September
20110902,2023-09-02,2011,3,September
20110903,2023-09-03,2011,3,September
20110904,2023-09-04,2011,3,September
20110905,2023-09-05,2011,3,September
20110906,2023-09-06,2011,3,September
20110907,2023-09-07,2011,3,September
20110908,2023-09-08,2011,3,September
20110909,2023-09-09,2011,3,September
20110910,2023-09-10,2011,3,September
20110911,2023-09-11,2011,3,September
20110912,2023-09-12,2011,3,September
20110913,2023-09-13,2011,3,September
20110914,2023-09-14,2011,3,September
20110915,2023-09-15,2011,3,September
20110916,2023-09-16,2011,3,September
20110917,2023-09-17,2011,3,September
20110918,2023-09-18,2011,3,September
20110919,2023-09-19,2011,3,September
20110920,2023-09-20,2011,3,September
20110921,2023-09-21,2011,3,September
20110922,2023-09-22,2011,3,September
20110923,2023-09-23,2011,3,September
20110924,2023-09-24,2011,3,September
20110925,2023-09-25,2011,3,September
20110926,2023-09-26,2011,3,September
20110927,2023-09-27,2011,3,September
20110928,2023-09-28,2011,3,September
20110929,2023-09-29,2011,3,September
20110930,2023-09-30,2011,3,September
20111001,2023-10-01,2011,4,October
20111002,2023-10-02,2011,4,October
20111003,2023-10-03,2011,4,October
20111004,2023-10-04,2011,4,October
20111005,2023-10-05,2011,4,October
20111006,2023-10-06,2011,4,October
20111007,2023-10-07,2011,4,October
20111008,2023-10-08,2011,4,October
20111009,2023-10-09,2011,4,October
20111010,2023-10-10,2011,4,October
20111011,2023-10-11,2011,4,October
20111012,2023-10-12,2011,4,October
20111013,2023-10-13,2011,4,October
20111014,2023-10-14,2011,4,October
20111015,2023-10-15,2011,4,October
20111016,2023-10-16,2011,4,October
20111017,2023-10-17,2011,4,October
20111018,2023-10-18,2011,4,October
20111019,2023-10-19,2011,4,October
20111020,2023-10-20,2011,4,October
20111021,2023-10-21,2011,4,October
20111022,2023-10-22,2011,4,October
20111023,2023-10-23,2011,4,October
20111024,2023-10-24,2011,4,October
20111025,2023-10-25,2011,4,October
20111026,2023-10-26,2011,4,October
20111027,2023-10-27,2011,4,October
20111028,2023-10-28,2011,4,October
20111029,2023-10-29,2011,4,October
20111030,2023-10-30,2011,4,October
20111031,2023-10-31,2011,4,October
20111101,2023-11-01,2011,4,November
20111102,2023-11-02,2011,4,November
20111103,2023-11-03,2011,4,November
20111104,2023-11-04,2011,4,November
20111105,2023-11-05,2011,4,November
20111106,2023-11-06,2011,4,November
20111107,2023-11-07,2011,4,November
20111108,2023-11-08,2011,4,November
20111109,2023-11-09,2011,4,November
20111110,2023-11-10,2011,4,November
20111111,2023-11-11,2011,4,November
20111112,2023-11-12,2011,4,November
20111113,2023-11-13,2011,4,November
20111114,2023-11-14,2011,4,November
20111115,2023-11-15,2011,4,November
20111116,2023-11-16,2011,4,November
20111117,2023-11-17,2011,4,November
20111118,2023-11-18,2011,4,November
20111119,2023-11-19,2011,4,November
20111120,2023-11-20,2011,4,November
20111121,2023-11-21,2011,4,November
20111122,2023-11-22,2011,4,November
20111123,2023-11-23,2011,4,November
20111124,2023-11-24,2011,4,November
20111125,2023-11-25,2011,4,November
20111126,2023-11-26,2011,4,November
20111127,2023-11-27,2011,4,November
20111128,2023-11-28,2011,4,November
20111129,2023-11-29,2011,4,November
20111130,2023-11-30,2011,4,November
20111201,2023-12-01,2011,4,December
20111202,2023-12-02,2011,4,December
20111203,2023-12-03,2011,4,December
20111204,2023-12-04,2011,4,December
20111205,2023-12-05,2011,4,December
20111206,2023-12-06,2011,4,December
20111207,2023-12-07,2011,4,December
20111208,2023-12-08,2011,4,December
20111209,2023-12-09,2011,4,December
20111210,2023-12-10,2011,4,December
20111211,2023-12-11,2011,4,December
20111212,2023-12-12,2011,4,December
20111213,2023-12-13,2011,4,December
20111214,2023-12-14,2011,4,December
20111215,2023-12-15,2011,4,December
20111216,2023-12-16,2011,4,December
20111217,2023-12-17,2011,4,December
20111218,2023-12-18,2011,4,December
20111219,2023-12-19,2011,4,December
20111220,2023-12-20,2011,4,December
20111221,2023-12-21,2011,4,December
20111222,2023-12-22,2011,4,December
20111223,2023-12-23,2011,4,December
20111224,2023-12-24,2011,4,December
20111225,2023-12-25,2011,4,December
20111226,2023-12-26,2011,4,December
20111227,2023-12-27,2011,4,December
20111228,2023-12-28,2011,4,December
20111229,2023-12-29,2011,4,December
20111230,2023-12-30,2011,4,December
20111231,2023-12-31,2011,4,December
20120101,2024-01-01,2012,1,January
20120102,2024-01-02,2012,1,January
20120103,2024-01-03,2012,1,January
20120104,2024-01-04,2012,1,January
20120105,2024-01-05,2012,1,January
20120106,2024-01-06,2012,1,January
20120107,2024-01-07,2012,1,January
20120108,2024-01-08,2012,1,January
20120109,2024-01-09,2012,1,January
20120110,2024-01-10,2012,1,January
20120111,2024-01-11,2012,1,January
20120112,2024-01-12,2012,1,January
20120113,2024-01-13,2012,1,January
20120114,2024-01-14,2012,1,January
20120115,2024-01-15,2012,1,January
20120116,2024-01-16,2012,1,January
20120117,2024-01-17,2012,1,January
20120118,2024-01-18,2012,1,January
20120119,2024-01-19,2012,1,January
20120120,2024-01-20,2012,1,January
20120121,2024-01-21,2012,1,January
20120122,2024-01-22,2012,1,January
20120123,2024-01-23,2012,1,January
20120124,2024-01-24,2012,1,January
20120125,2024-01-25,2012,1,January
20120126,2024-01-26,2012,1,January
20120127,2024-01-27,2012,1,January
20120128,2024-01-28,2012,1,January
20120129,2024-01-29,2012,1,January
20120130,2024-01-30,2012,1,January
20120131,2024-01-31,2012,1,January
20120201,2024-02-01,2012,1,February
20120202,2024-02-02,2012,1,February
20120203,2024-02-03,2012,1,February
20120204,2024-02-04,2012,1,February
20120205,2024-02-05,2012,1,February
20120206,2024-02-06,2012,1,February
20120207,2024-02-07,2012,1,February
20120208,2024-02-08,2012,1,February
20120209,2024-02-09,2012,1,February
20120210,2024-02-10,2012,1,February
20120211,2024-02-11,2012,1,February
20120212,2024-02-12,2012,1,February
20120213,2024-02-13,2012,1,February
20120214,2024-02-14,2012,1,February
20120215,2024-02-15,2012,1,February
20120216,2024-02-16,2012,1,February
20120217,2024-02-17,2012,1,February
20120218,2024-02-18,2012,1,February
20120219,2024-02-19,2012,1,February
20120220,2024-02-20,2012,1,February
20120221,2024-02-21,2012,1,February
20120222,2024-02-22,2012,1,February
20120223,2024-02-23,2012,1,February
20120224,2024-02-24,2012,1,February
20120225,2024-02-25,2012,1,February
20120226,2024-02-26,2012,1,February
20120227,2024-02-27,2012,1,February
20120228,2024-02-28,2012,1,February
20120229,2024-02-29,2012,1,February
20120301,2024-03-01,2012,1,March
20120302,2024-03-02,2012,1,March
20120303,2024-03-03,2012,1,March
20120304,2024-03-04,2012,1,March
20120305,2024-03-05,2012,1,March
20120306,2024-03-06,2012,1,March
20120307,2024-03-07,2012,1,March
20120308,2024-03-08,2012,1,March
20120309,2024-03-09,2012,1,March
20120310,2024-03-10,2012,1,March
20120311,2024-03-11,2012,1,March
20120312,2024-03-12,2012,1,March
20120313,2024-03-13,2012,1,March
20120314,2024-03-14,2012,1,March
20120315,2024-03-15,2012,1,March
20120316,2024-03-16,2012,1,March
20120317,2024-03-17,2012,1,March
20120318,2024-03-18,2012,1,March
20120319,2024-03-19,2012,1,March
20120320,2024-03-20,2012,1,March
20120321,2024-03-21,2012,1,March
20120322,2024-03-22,2012,1,March
20120323,2024-03-23,2012,1,March
20120324,2024-03-24,2012,1,March
20120325,2024-03-25,2012,1,March
20120326,2024-03-26,2012,1,March
20120327,2024-03-27,2012,1,March
20120328,2024-03-28,2012,1,March
20120329,2024-03-29,2012,1,March
20120330,2024-03-30,2012,1,March
20120331,2024-03-31,2012,1,March
20120401,2024-04-01,2012,2,April
20120402,2024-04-02,2012,2,April
20120403,2024-04-03,2012,2,April
20120404,2024-04-04,2012,2,April
20120405,2024-04-05,2012,2,April
20120406,2024-04-06,2012,2,April
20120407,2024-04-07,2012,2,April
20120408,2024-04-08,2012,2,April
20120409,2024-04-09,2012,2,April
20120410,2024-04-10,2012,2,April
20120411,2024-04-11,2012,2,April
20120412,2024-04-12,2012,2,April
20120413,2024-04-13,2012,2,April
20120414,2024-04-14,2012,2,April
20120415,2024-04-15,2012,2,April
20120416,2024-04-16,2012,2,April
20120417,2024-04-17,2012,2,April
20120418,2024-04-18,2012,2,April
20120419,2024-04-19,2012,2,April
20120420,2024-04-20,2012,2,April
20120421,2024-04-21,2012,2,April
20120422,2024-04-22,2012,2,April
20120423,2024-04-23,2012,2,April
20120424,2024-04-24,2012,2,April
20120425,2024-04-25,2012,2,April
20120426,2024-04-26,2012,2,April
20120427,2024-04-27,2012,2,April
20120428,2024-04-28,2012,2,April
20120429,2024-04-29,2012,2,April
20120430,2024-04-30,2012,2,April
20120501,2024-05-01,2012,2,May
20120502,2024-05-02,2012,2,May
20120503,2024-05-03,2012,2,May
20120504,2024-05-04,2012,2,May
20120505,2024-05-05,2012,2,May
20120506,2024-05-06,2012,2,May
20120507,2024-05-07,2012,2,May
20120508,2024-05-08,2012,2,May
20120509,2024-05-09,2012,2,May
20120510,2024-05-10,2012,2,May
20120511,2024-05-11,2012,2,May
20120512,2024-05-12,2012,2,May
20120513,2024-05-13,2012,2,May
20120514,2024-05-14,2012,2,May
20120515,2024-05-15,2012,2,May
20120516,2024-05-16,2012,2,May
20120517,2024-05-17,2012,2,May
20120518,2024-05-18,2012,2,May
20120519,2024-05-19,2012,2,May
20120520,2024-05-20,2012,2,May
20120521,2024-05-21,2012,2,May
20120522,2024-05-22,2012,2,May
20120523,2024-05-23,2012,2,May
20120524,2024-05-24,2012,2,May
20120525,2024-05-25,2012,2,May
20120526,2024-05-26,2012,2,May
20120527,2024-05-27,2012,2,May
20120528,2024-05-28,2012,2,May
20120529,2024-05-29,2012,2,May
20120530,2024-05-30,2012,2,May
20120531,2024-05-31,2012,2,May
20120601,2024-06-01,2012,2,June
20120602,2024-06-02,2012,2,June
20120603,2024-06-03,2012,2,June
20120604,2024-06-04,2012,2,June
20120605,2024-06-05,2012,2,June
20120606,2024-06-06,2012,2,June
20120607,2024-06-07,2012,2,June
20120608,2024-06-08,2012,2,June
20120609,2024-06-09,2012,2,June
20120610,2024-06-10,2012,2,June
20120611,2024-06-11,2012,2,June
20120612,2024-06-12,2012,2,June
20120613,2024-06-13,2012,2,June
20120614,2024-06-14,2012,2,June
20120615,2024-06-15,2012,2,June
20120616,2024-06-16,2012,2,June
20120617,2024-06-17,2012,2,June
20120618,2024-06-18,2012,2,June
20120619,2024-06-19,2012,2,June
20120620,2024-06-20,2012,2,June
20120621,2024-06-21,2012,2,June
20120622,2024-06-22,2012,2,June
20120623,2024-06-23,2012,2,June
20120624,2024-06-24,2012,2,June
20120625,2024-06-25,2012,2,June
20120626,2024-06-26,2012,2,June
20120627,2024-06-27,2012,2,June
20120628,2024-06-28,2012,2,June
20120629,2024-06-29,2012,2,June
20120630,2024-06-30,2012,2,June
20120701,2024-07-01,2012,3,July
20120702,2024-07-02,2012,3,July
20120703,2024-07-03,2012,3,July
20120704,2024-07-04,2012,3,July
20120705,2024-07-05,2012,3,July
20120706,2024-07-06,2012,3,July
20120707,2024-07-07,2012,3,July
20120708,2024-07-08,2012,3,July
20120709,2024-07-09,2012,3,July
20120710,2024-07-10,2012,3,July
20120711,2024-07-11,2012,3,July
20120712,2024-07-12,2012,3,July
20120713,2024-07-13,2012,3,July
20120714,2024-07-14,2012,3,July
20120715,2024-07-15,2012,3,July
20120716,2024-07-16,2012,3,July
20120717,2024-07-17,2012,3,July
20120718,2024-07-18,2012,3,July
20120719,2024-07-19,2012,3,July
20120720,2024-07-20,2012,3,July
20120721,2024-07-21,2012,3,July
20120722,2024-07-22,2012,3,July
20120723,2024-07-23,2012,3,July
20120724,2024-07-24,2012,3,July
20120725,2024-07-25,2012,3,July
20120726,2024-07-26,2012,3,July
20120727,2024-07-27,2012,3,July
20120728,2024-07-28,2012,3,July
20120729,2024-07-29,2012,3,July
20120730,2024-07-30,2012,3,July
20120731,2024-07-31,2012,3,July
20120801,2024-08-01,2012,3,August
20120802,2024-08-02,2012,3,August
20120803,2024-08-03,2012,3,August
20120804,2024-08-04,2012,3,August
20120805,2024-08-05,2012,3,August
20120806,2024-08-06,2012,3,August
20120807,2024-08-07,2012,3,August
20120808,2024-08-08,2012,3,August
20120809,2024-08-09,2012,3,August
20120810,2024-08-10,2012,3,August
20120811,2024-08-11,2012,3,August
20120812,2024-08-12,2012,3,August
20120813,2024-08-13,2012,3,August
20120814,2024-08-14,2012,3,August
20120815,2024-08-15,2012,3,August
20120816,2024-08-16,2012,3,August
20120817,2024-08-17,2012,3,August
20120818,2024-08-18,2012,3,August
20120819,2024-08-19,2012,3,August
20120820,2024-08-20,2012,3,August
20120821,2024-08-21,2012,3,August
20120822,2024-08-22,2012,3,August
20120823,2024-08-23,2012,3,August
20120824,2024-08-24,2012,3,August
20120825,2024-08-25,2012,3,August
20120826,2024-08-26,2012,3,August
20120827,2024-08-27,2012,3,August
20120828,2024-08-28,2012,3,August
20120829,2024-08-29,2012,3,August
20120830,2024-08-30,2012,3,August
20120831,2024-08-31,2012,3,August
20120901,2024-09-01,2012,3,September
20120902,2024-09-02,2012,3,September
20120903,2024-09-03,2012,3,September
20120904,2024-09-04,2012,3,September
20120905,2024-09-05,2012,3,September
20120906,2024-09-06,2012,3,September
20120907,2024-09-07,2012,3,September
20120908,2024-09-08,2012,3,September
20120909,2024-09-09,2012,3,September
20120910,2024-09-10,2012,3,September
20120911,2024-09-11,2012,3,September
20120912,2024-09-12,2012,3,September
20120913,2024-09-13,2012,3,September
20120914,2024-09-14,2012,3,September
20120915,2024-09-15,2012,3,September
20120916,2024-09-16,2012,3,September
20120917,2024-09-17,2012,3,September
20120918,2024-09-18,2012,3,September
20120919,2024-09-19,2012,3,September
20120920,2024-09-20,2012,3,September
20120921,2024-09-21,2012,3,September
20120922,2024-09-22,2012,3,September
20120923,2024-09-23,2012,3,September
20120924,2024-09-24,2012,3,September
20120925,2024-09-25,2012,3,September
20120926,2024-09-26,2012,3,September
20120927,2024-09-27,2012,3,September
20120928,2024-09-28,2012,3,September
20120929,2024-09-29,2012,3,September
20120930,2024-09-30,2012,3,September
20121001,2024-10-01,2012,4,October
20121002,2024-10-02,2012,4,October
20121003,2024-10-03,2012,4,October
20121004,2024-10-04,2012,4,October
20121005,2024-10-05,2012,4,October
20121006,2024-10-06,2012,4,October
20121007,2024-10-07,2012,4,October
20121008,2024-10-08,2012,4,October
20121009,2024-10-09,2012,4,October
20121010,2024-10-10,2012,4,October
20121011,2024-10-11,2012,4,October
20121012,2024-10-12,2012,4,October
20121013,2024-10-13,2012,4,October
20121014,2024-10-14,2012,4,October
20121015,2024-10-15,2012,4,October
20121016,2024-10-16,2012,4,October
20121017,2024-10-17,2012,4,October
20121018,2024-10-18,2012,4,October
20121019,2024-10-19,2012,4,October
20121020,2024-10-20,2012,4,October
20121021,2024-10-21,2012,4,October
20121022,2024-10-22,2012,4,October
20121023,2024-10-23,2012,4,October
20121024,2024-10-24,2012,4,October
20121025,2024-10-25,2012,4,October
20121026,2024-10-26,2012,4,October
20121027,2024-10-27,2012,4,October
20121028,2024-10-28,2012,4,October
20121029,2024-10-29,2012,4,October
20121030,2024-10-30,2012,4,October
20121031,2024-10-31,2012,4,October
20121101,2024-11-01,2012,4,November
20121102,2024-11-02,2012,4,November
20121103,2024-11-03,2012,4,November
20121104,2024-11-04,2012,4,November
20121105,2024-11-05,2012,4,November
20121106,2024-11-06,2012,4,November
20121107,2024-11-07,2012,4,November
20121108,2024-11-08,2012,4,November
20121109,2024-11-09,2012,4,November
20121110,2024-11-10,2012,4,November
20121111,2024-11-11,2012,4,November
20121112,2024-11-12,2012,4,November
20121113,2024-11-13,2012,4,November
20121114,2024-11-14,2012,4,November
20121115,2024-11-15,2012,4,November
20121116,2024-11-16,2012,4,November
20121117,2024-11-17,2012,4,November
20121118,2024-11-18,2012,4,November
20121119,2024-11-19,2012,4,November
20121120,2024-11-20,2012,4,November
20121121,2024-11-21,2012,4,November
20121122,2024-11-22,2012,4,November
20121123,2024-11-23,2012,4,November
20121124,2024-11-24,2012,4,November
20121125,2024-11-25,2012,4,November
20121126,2024-11-26,2012,4,November
20121127,2024-11-27,2012,4,November
20121128,2024-11-28,2012,4,November
20121129,2024-11-29,2012,4,November
20121130,2024-11-30,2012,4,November
20121201,2024-12-01,2012,4,December
20121202,2024-12-02,2012,4,December
20121203,2024-12-03,2012,4,December
20121204,2024-12-04,2012,4,December
20121205,2024-12-05,2012,4,December
20121206,2024-12-06,2012,4,December
20121207,2024-12-07,2012,4,December
20121208,2024-12-08,2012,4,December
20121209,2024-12-09,2012,4,December
20121210,2024-12-10,2012,4,December
20121211,2024-12-11,2012,4,December
20121212,2024-12-12,2012,4,December
20121213,2024-12-13,2012,4,December
20121214,2024-12-14,2012,4,December
20121215,2024-12-15,2012,4,December
20121216,2024-12-16,2012,4,December
20121217,2024-12-17,2012,4,December
20121218,2024-12-18,2012,4,December
20121219,2024-12-19,2012,4,December
20121220,2024-12-20,2012,4,December
20121221,2024-12-21,2012,4,December
20121222,2024-12-22,2012,4,December
20121223,2024-12-23,2012,4,December
20121224,2024-12-24,2012,4,December
20121225,2024-12-25,2012,4,December
20121226,2024-12-26,2012,4,December
20121227,2024-12-27,2012,4,December
20121228,2024-12-28,2012,4,December
20121229,2024-12-29,2012,4,December
20121230,2024-12-30,2012,4,December
20121231,2024-12-31,2012,4,December
20130101,2025-01-01,2013,1,January
20130102,2025-01-02,2013,1,January
20130103,2025-01-03,2013,1,January
20130104,2025-01-04,2013,1,January
20130105,2025-01-05,2013,1,January
20130106,2025-01-06,2013,1,January
20130107,2025-01-07,2013,1,January
20130108,2025-01-08,2013,1,January
20130109,2025-01-09,2013,1,January
20130110,2025-01-10,2013,1,January
20130111,2025-01-11,2013,1,January
20130112,2025-01-12,2013,1,January
20130113,2025-01-13,2013,1,January
20130114,2025-01-14,2013,1,January
20130115,2025-01-15,2013,1,January
20130116,2025-01-16,2013,1,January
20130117,2025-01-17,2013,1,January
20130118,2025-01-18,2013,1,January
20130119,2025-01-19,2013,1,January
20130120,2025-01-20,2013,1,January
20130121,2025-01-21,2013,1,January
20130122,2025-01-22,2013,1,January
20130123,2025-01-23,2013,1,January
20130124,2025-01-24,2013,1,January
20130125,2025-01-25,2013,1,January
20130126,2025-01-26,2013,1,January
20130127,2025-01-27,2013,1,January
20130128,2025-01-28,2013,1,January
20130129,2025-01-29,2013,1,January
20130130,2025-01-30,2013,1,January
20130131,2025-01-31,2013,1,January
20130201,2025-02-01,2013,1,February
20130202,2025-02-02,2013,1,February
20130203,2025-02-03,2013,1,February
20130204,2025-02-04,2013,1,February
20130205,2025-02-05,2013,1,February
20130206,2025-02-06,2013,1,February
20130207,2025-02-07,2013,1,February
20130208,2025-02-08,2013,1,February
20130209,2025-02-09,2013,1,February
20130210,2025-02-10,2013,1,February
20130211,2025-02-11,2013,1,February
20130212,2025-02-12,2013,1,February
