event_date,device_category,os,sessions
20201121,desktop,<Other>,102
20201121,tablet,Web,48
20201121,tablet,iOS,20
20201121,tablet,Android,8
20201121,tablet,Windows,1
20201121,mobile,<Other>,1
20201122,desktop,Web,1013
20201122,mobile,Web,471
20201122,desktop,Windows,316
20201122,mobile,iOS,284
20201122,mobile,Android,224
20201122,desktop,Macintosh,218
20201122,desktop,<Other>,63
20201122,tablet,Web,35
20201122,tablet,iOS,15
20201122,tablet,Android,11
20201123,desktop,Web,1403
20201123,mobile,Web,828
20201123,desktop,Windows,472
20201123,mobile,iOS,407
20201123,mobile,Android,341
20201123,desktop,Macintosh,286
20201123,desktop,<Other>,90
20201123,tablet,Web,53
20201123,tablet,iOS,29
20201123,tablet,Android,5
20201124,desktop,Web,1486
20201124,mobile,Web,847
20201124,desktop,Windows,501
20201124,mobile,iOS,442
20201124,mobile,Android,361
20201124,desktop,Macintosh,330
20201124,desktop,<Other>,115
20201124,tablet,Web,46
20201124,tablet,iOS,24
20201124,tablet,Android,17
20201125,desktop,Web,1545
20201125,mobile,Web,900
20201125,desktop,Windows,519
20201125,mobile,iOS,438
20201125,mobile,Android,357
20201125,desktop,Macintosh,337
20201125,desktop,<Other>,112
20201125,tablet,Web,40
20201125,tablet,iOS,28
20201125,tablet,Android,16
20201126,desktop,Web,1472
20201126,mobile,Web,821
20201126,mobile,iOS,457
20201126,desktop,Windows,444
20201126,mobile,Android,378
20201126,desktop,Macintosh,304
20201126,desktop,<Other>,87
20201126,tablet,Web,57
20201126,tablet,iOS,30
20201126,tablet,Android,8
20201127,desktop,Web,1395
20201127,mobile,Web,815
20201127,desktop,Windows,492
20201127,mobile,iOS,419
20201127,mobile,Android,334
20201127,desktop,Macintosh,293
20201127,desktop,<Other>,89
20201127,tablet,Web,50
20201127,tablet,iOS,25
20201127,tablet,Android,15
20201127,mobile,<Other>,1
20201128,desktop,Web,1213
20201128,mobile,Web,671
20201128,desktop,Windows,391
20201128,mobile,iOS,372
20201128,mobile,Android,294
20201128,desktop,Macintosh,258
20201128,desktop,<Other>,79
20201128,tablet,Web,33
20201128,tablet,iOS,20
20201128,tablet,Android,14
20201129,desktop,Web,1134
20201129,mobile,Web,663
20201129,desktop,Windows,368
20201129,mobile,iOS,348
20201129,mobile,Android,289
20201129,desktop,Macintosh,259
20201129,desktop,<Other>,82
20201129,tablet,Web,36
20201129,tablet,iOS,18
20201129,tablet,Android,8
20201129,mobile,<Other>,1
20201130,desktop,Web,1667
20201130,mobile,Web,872
20201130,desktop,Windows,523
20201130,mobile,iOS,476
20201130,mobile,Android,408
20201130,desktop,Macintosh,337
20201130,desktop,<Other>,123
20201130,tablet,Web,66
20201130,tablet,iOS,26
20201130,tablet,Android,13
20201130,mobile,<Other>,2
20201130,tablet,Windows,1
20201201,desktop,Web,1810
20201201,mobile,Web,971
20201201,mobile,iOS,570
20201201,desktop,Windows,552
20201201,mobile,Android,413
20201201,desktop,Macintosh,382
20201201,desktop,<Other>,111
20201201,tablet,Web,60
20201201,tablet,iOS,29
20201201,tablet,Android,14
20201202,desktop,Web,1782
20201202,mobile,Web,992
20201202,desktop,Windows,539
20201202,mobile,iOS,478
20201202,mobile,Android,390
20201202,desktop,Macintosh,335
20201202,desktop,<Other>,127
20201202,tablet,Web,75
20201202,tablet,iOS,31
20201202,tablet,Android,10
20201203,desktop,Web,1873
20201203,mobile,Web,995
20201203,desktop,Windows,612
20201203,mobile,iOS,548
20201203,mobile,Android,434
20201203,desktop,Macintosh,410
20201203,desktop,<Other>,149
20201203,tablet,Web,71
20201203,tablet,iOS,37
20201203,tablet,Android,11
20201204,desktop,Web,1732
20201204,mobile,Web,969
20201204,desktop,Windows,541
20201204,mobile,iOS,516
20201204,mobile,Android,373
20201204,desktop,Macintosh,328
20201204,desktop,<Other>,113
20201204,tablet,Web,61
20201204,tablet,iOS,30
20201204,tablet,Android,12
20201205,desktop,Web,1284
20201205,mobile,Web,775
20201205,mobile,iOS,392
20201205,desktop,Windows,351
20201205,mobile,Android,259
20201205,desktop,Macintosh,250
20201205,desktop,<Other>,89
20201205,tablet,Web,31
20201205,tablet,iOS,17
20201205,tablet,Android,14
20201206,desktop,Web,1145
20201206,mobile,Web,701
20201206,desktop,Windows,392
20201206,mobile,iOS,374
20201206,mobile,Android,284
20201206,desktop,Macintosh,232
20201206,desktop,<Other>,90
20201206,tablet,Web,53
20201206,tablet,iOS,24
20201206,tablet,Android,7
20201207,desktop,Web,2016
20201207,mobile,Web,1077
20201207,desktop,Windows,606
20201207,mobile,iOS,579
20201207,mobile,Android,493
20201207,desktop,Macintosh,393
20201207,desktop,<Other>,144
20201207,tablet,Web,53
20201207,tablet,iOS,24
20201207,tablet,Android,23
20201207,mobile,<Other>,1
20201208,desktop,Web,2832
20201208,mobile,Web,1480
20201208,desktop,Windows,840
20201208,mobile,iOS,803
20201208,mobile,Android,650
20201208,desktop,Macintosh,553
20201208,desktop,<Other>,189
20201208,tablet,Web,94
20201208,tablet,iOS,47
20201208,tablet,Android,32
20201208,tablet,Windows,2
20201209,desktop,Web,2301
20201209,mobile,Web,1260
20201209,desktop,Windows,708
20201209,mobile,iOS,675
20201209,mobile,Android,512
20201209,desktop,Macintosh,416
20201209,desktop,<Other>,177
20201209,tablet,Web,79
20201209,tablet,iOS,51
20201209,tablet,Android,26
20201209,mobile,<Other>,1
20201209,tablet,Windows,1
20201210,desktop,Web,2054
20201210,mobile,Web,1149
20201210,desktop,Windows,730
20201210,mobile,iOS,642
20201210,desktop,Macintosh,453
20201210,mobile,Android,446
20201210,desktop,<Other>,159
20201210,tablet,Web,76
20201210,tablet,iOS,39
20201210,tablet,Android,10
20201211,desktop,Web,1984
20201211,mobile,Web,1106
20201211,desktop,Windows,636
20201211,mobile,iOS,616
20201211,desktop,Macintosh,440
20201211,mobile,Android,434
20201211,desktop,<Other>,140
20201211,tablet,Web,69
20201211,tablet,iOS,32
20201211,tablet,Android,17
20201211,tablet,<Other>,1
20201211,mobile,<Other>,1
20201212,desktop,Web,1530
20201212,mobile,Web,841
20201212,desktop,Windows,500
20201212,mobile,iOS,419
20201212,mobile,Android,308
20201212,desktop,Macintosh,299
20201212,desktop,<Other>,100
20201212,tablet,Web,44
20201212,tablet,iOS,27
20201212,tablet,Android,17
20201212,mobile,<Other>,1
20201212,tablet,Windows,1
20201213,desktop,Web,1350
20201213,mobile,Web,720
20201213,mobile,iOS,428
20201213,desktop,Windows,418
20201213,mobile,Android,328
20201213,desktop,Macintosh,273
20201213,desktop,<Other>,74
20201213,tablet,Web,37
20201213,tablet,iOS,22
20201213,tablet,Android,14
20201213,tablet,Windows,1
20201213,mobile,<Other>,1
20201214,desktop,Web,1825
20201214,mobile,Web,1061
20201214,desktop,Windows,603
20201214,mobile,iOS,557
20201214,mobile,Android,389
20201214,desktop,Macintosh,375
20201214,desktop,<Other>,106
20201214,tablet,Web,78
20201214,tablet,iOS,37
20201214,tablet,Android,15
20201214,mobile,<Other>,1
20201214,tablet,Windows,1
20201215,desktop,Web,2089
20201215,mobile,Web,1129
20201215,desktop,Windows,671
20201215,mobile,iOS,649
20201215,mobile,Android,454
20201215,desktop,Macintosh,418
20201215,desktop,<Other>,142
20201215,tablet,Web,68
20201215,tablet,iOS,41
20201215,tablet,Android,14
20201215,mobile,<Other>,3
20201216,desktop,Web,2033
20201216,mobile,Web,1094
20201216,desktop,Windows,609
20201216,mobile,iOS,569
20201216,mobile,Android,490
20201216,desktop,Macintosh,446
20201216,desktop,<Other>,127
20201216,tablet,Web,72
20201216,tablet,iOS,32
20201216,tablet,Android,13
20201217,desktop,Web,1899
20201217,mobile,Web,1090
20201217,desktop,Windows,624
20201217,mobile,iOS,576
20201217,mobile,Android,453
20201217,desktop,Macintosh,417
20201217,desktop,<Other>,126
20201217,tablet,Web,50
20201217,tablet,iOS,27
20201217,tablet,Android,19
20201217,mobile,<Other>,1
20201218,desktop,Web,1717
20201218,mobile,Web,990
20201218,desktop,Windows,558
20201218,mobile,iOS,540
20201218,mobile,Android,408
20201218,desktop,Macintosh,336
20201218,desktop,<Other>,124
20201218,tablet,Web,64
20201218,tablet,iOS,31
20201218,tablet,Android,13
20201218,mobile,<Other>,1
20201219,desktop,Web,1293
20201219,mobile,Web,774
20201219,mobile,iOS,391
20201219,desktop,Windows,391
20201219,mobile,Android,308
20201219,desktop,Macintosh,249
20201219,desktop,<Other>,80
20201219,tablet,Web,43
20201219,tablet,iOS,15
20201219,tablet,Android,11
20201219,tablet,Windows,2
20201219,mobile,<Other>,1
20201220,desktop,Web,1256
20201220,mobile,Web,659
20201220,mobile,iOS,349
20201220,desktop,Windows,343
20201220,desktop,Macintosh,248
20201220,mobile,Android,245
20201220,desktop,<Other>,82
20201220,tablet,Web,33
20201220,tablet,iOS,21
20201220,tablet,Android,10
20201220,mobile,Windows,1
20201221,desktop,Web,1450
20201221,mobile,Web,808
20201221,desktop,Windows,470
20201221,mobile,iOS,406
20201221,mobile,Android,350
20201221,desktop,Macintosh,272
20201221,desktop,<Other>,95
20201221,tablet,Web,52
20201221,tablet,iOS,27
20201221,tablet,Android,20
20201222,desktop,Web,1380
20201222,mobile,Web,809
20201222,mobile,iOS,440
20201222,desktop,Windows,393
20201222,mobile,Android,303
20201222,desktop,Macintosh,267
20201222,desktop,<Other>,115
20201222,tablet,Web,44
20201222,tablet,Android,25
20201222,tablet,iOS,14
20201222,mobile,<Other>,1
20201223,desktop,Web,1241
20201223,mobile,Web,691
20201223,mobile,iOS,418
20201223,desktop,Windows,376
20201223,mobile,Android,297
20201223,desktop,Macintosh,220
20201223,desktop,<Other>,95
20201223,tablet,Web,37
20201223,tablet,iOS,18
20201223,tablet,Android,13
20201224,desktop,Web,1014
20201224,mobile,Web,580
20201224,mobile,iOS,325
20201224,desktop,Windows,317
20201224,mobile,Android,230
20201224,desktop,Macintosh,188
20201224,desktop,<Other>,56
20201224,tablet,Web,34
20201224,tablet,iOS,19
20201224,tablet,Android,10
20201225,desktop,Web,984
20201225,mobile,Web,510
20201225,desktop,Windows,301
20201225,mobile,iOS,285
20201225,mobile,Android,229
20201225,desktop,Macintosh,180
20201225,desktop,<Other>,76
20201225,tablet,Web,33
20201225,tablet,iOS,13
20201225,tablet,Android,12
20201226,desktop,Web,955
20201226,mobile,Web,560
20201226,desktop,Windows,335
20201226,mobile,iOS,285
20201226,mobile,Android,212
20201226,desktop,Macintosh,178
20201226,desktop,<Other>,71
20201226,tablet,iOS,25
20201226,tablet,Web,21
20201226,tablet,Android,9
20201227,desktop,Web,963
20201227,mobile,Web,528
20201227,desktop,Windows,309
20201227,mobile,iOS,307
20201227,mobile,Android,217
20201227,desktop,Macintosh,190
20201227,desktop,<Other>,73
20201227,tablet,Web,37
20201227,tablet,iOS,14
20201227,tablet,Android,8
20201228,desktop,Web,1193
20201228,mobile,Web,673
20201228,desktop,Windows,390
20201228,mobile,iOS,338
20201228,mobile,Android,288
20201228,desktop,Macintosh,279
20201228,desktop,<Other>,88
20201228,tablet,Web,42
20201228,tablet,iOS,27
20201228,tablet,Android,9
20201228,mobile,<Other>,2
20201229,desktop,Web,1195
20201229,mobile,Web,738
20201229,desktop,Windows,409
20201229,mobile,iOS,350
20201229,desktop,Macintosh,274
20201229,mobile,Android,268
20201229,desktop,<Other>,78
20201229,tablet,Web,43
20201229,tablet,iOS,24
20201229,tablet,Android,20
20201229,mobile,<Other>,1
20201230,desktop,Web,1170
20201230,mobile,Web,653
20201230,desktop,Windows,374
20201230,mobile,iOS,338
20201230,mobile,Android,255
20201230,desktop,Macintosh,247
20201230,desktop,<Other>,68
20201230,tablet,Web,44
20201230,tablet,iOS,22
20201230,tablet,Android,11
20201231,desktop,Web,963
20201231,mobile,Web,525
20201231,mobile,iOS,287
20201231,desktop,Windows,279
20201231,mobile,Android,201
20201231,desktop,Macintosh,196
20201231,desktop,<Other>,55
20201231,tablet,Web,37
20201231,tablet,iOS,24
20201231,tablet,Android,20
20210101,desktop,Web,866
20210101,mobile,Web,430
20210101,mobile,iOS,257
20210101,desktop,Windows,229
20210101,mobile,Android,204
20210101,desktop,Macintosh,185
20210101,desktop,<Other>,67
20210101,tablet,Web,24
20210101,tablet,iOS,16
20210101,tablet,Android,11
20210102,desktop,Web,1049
20210102,mobile,Web,515
20210102,desktop,Windows,325
20210102,mobile,iOS,267
20210102,mobile,Android,210
20210102,desktop,Macintosh,200
20210102,desktop,<Other>,74
20210102,tablet,Web,35
20210102,tablet,iOS,20
20210102,tablet,Android,8
20210102,mobile,<Other>,1
20210102,tablet,Windows,1
20210103,desktop,Web,1031
20210103,mobile,Web,556
20210103,desktop,Windows,310
20210103,mobile,iOS,301
20210103,mobile,Android,224
20210103,desktop,Macintosh,222
20210103,desktop,<Other>,62
20210103,tablet,Web,24
20210103,tablet,iOS,14
20210103,tablet,Android,9
20210104,desktop,Web,1213
20210104,mobile,Web,649
20210104,desktop,Windows,395
20210104,mobile,iOS,371
20210104,mobile,Android,270
20210104,desktop,Macintosh,249
20210104,desktop,<Other>,92
20210104,tablet,Web,47
20210104,tablet,iOS,23
20210104,tablet,Android,7
20210104,tablet,Windows,1
20210105,desktop,Web,1592
20210105,mobile,Web,959
20210105,mobile,iOS,488
20210105,desktop,Windows,466
20210105,mobile,Android,369
20210105,desktop,Macintosh,332
20210105,desktop,<Other>,105
20210105,tablet,Web,43
20210105,tablet,iOS,32
20210105,tablet,Android,23
20210105,tablet,Windows,1
20210106,desktop,Web,2204
20210106,mobile,Web,1192
20210106,desktop,Windows,671
20210106,mobile,iOS,649
20210106,mobile,Android,477
20210106,desktop,Macintosh,474
20210106,desktop,<Other>,159
20210106,tablet,Web,72
20210106,tablet,iOS,35
20210106,tablet,Android,17
20210106,mobile,Windows,1
20210107,desktop,Web,1669
20210107,mobile,Web,936
20210107,desktop,Windows,535
20210107,mobile,iOS,493
20210107,mobile,Android,390
20210107,desktop,Macintosh,330
20210107,desktop,<Other>,130
20210107,tablet,Web,72
20210107,tablet,iOS,36
20210107,tablet,Android,15
20210107,mobile,<Other>,1
20210108,desktop,Web,1537
20210108,mobile,Web,842
20210108,mobile,iOS,506
20210108,desktop,Windows,476
20210108,mobile,Android,333
20210108,desktop,Macintosh,294
20210108,desktop,<Other>,116
20210108,tablet,Web,62
20210108,tablet,iOS,34
20210108,tablet,Android,16
20210108,tablet,Windows,1
20210109,desktop,Web,1186
20210109,mobile,Web,682
20210109,desktop,Windows,350
20210109,mobile,iOS,338
20210109,mobile,Android,306
20210109,desktop,Macintosh,230
20210109,desktop,<Other>,83
20210109,tablet,Web,31
20210109,tablet,iOS,23
20210109,tablet,Android,10
20210110,desktop,Web,1087
20210110,mobile,Web,639
20210110,desktop,Windows,340
20210110,mobile,iOS,331
20210110,mobile,Android,261
20210110,desktop,Macintosh,180
20210110,desktop,<Other>,71
20210110,tablet,Web,31
20210110,tablet,iOS,24
20210110,tablet,Android,9
20210110,mobile,<Other>,1
20210111,desktop,Web,1459
20210111,mobile,Web,861
20210111,mobile,iOS,434
20210111,desktop,Windows,407
20210111,mobile,Android,307
20210111,desktop,Macintosh,253
20210111,desktop,<Other>,103
20210111,tablet,Web,44
20210111,tablet,iOS,25
20210111,tablet,Android,21
20210111,mobile,<Other>,1
20210112,desktop,Web,1674
20210112,mobile,Web,942
20210112,mobile,iOS,568
20210112,desktop,Windows,527
20210112,mobile,Android,406
20210112,desktop,Macintosh,320
20210112,desktop,<Other>,140
20210112,tablet,Web,64
20210112,tablet,iOS,24
20210112,tablet,Android,9
20210112,tablet,Windows,3
20210113,desktop,Web,1610
20210113,mobile,Web,910
20210113,desktop,Windows,545
20210113,mobile,iOS,496
20210113,mobile,Android,415
20210113,desktop,Macintosh,302
20210113,desktop,<Other>,113
20210113,tablet,Web,47
20210113,tablet,iOS,22
20210113,tablet,Android,17
20210114,desktop,Web,1598
20210114,mobile,Web,943
20210114,desktop,Windows,476
20210114,mobile,iOS,452
20210114,desktop,Macintosh,342
20210114,mobile,Android,324
20210114,desktop,<Other>,86
20210114,tablet,Web,56
20210114,tablet,iOS,30
20210114,tablet,Android,14
20210115,desktop,Web,1431
20210115,mobile,Web,788
20210115,desktop,Windows,462
20210115,mobile,iOS,423
20210115,mobile,Android,343
20210115,desktop,Macintosh,263
20210115,desktop,<Other>,99
20210115,tablet,Web,50
20210115,tablet,iOS,18
20210115,tablet,Android,16
20210116,desktop,Web,1090
20210116,mobile,Web,664
20210116,mobile,iOS,387
20210116,desktop,Windows,356
20210116,mobile,Android,245
20210116,desktop,Macintosh,239
20210116,desktop,<Other>,79
20210116,tablet,Web,49
20210116,tablet,iOS,24
20210116,tablet,Android,13
20210117,desktop,Web,1100
20210117,mobile,Web,568
20210117,desktop,Windows,357
20210117,mobile,iOS,316
20210117,mobile,Android,248
20210117,desktop,Macintosh,231
20210117,desktop,<Other>,78
20210117,tablet,Web,31
20210117,tablet,iOS,16
20210117,tablet,Android,15
20210118,desktop,Web,1330
20210118,mobile,Web,738
20210118,desktop,Windows,383
20210118,mobile,iOS,378
20210118,mobile,Android,292
20210118,desktop,Macintosh,268
20210118,desktop,<Other>,102
20210118,tablet,Web,34
20210118,tablet,iOS,21
20210118,tablet,Android,15
20210119,desktop,Web,1478
20210119,mobile,Web,919
20210119,desktop,Windows,479
20210119,mobile,iOS,412
20210119,mobile,Android,335
20210119,desktop,Macintosh,316
20210119,desktop,<Other>,106
20210119,tablet,Web,46
20210119,tablet,iOS,41
20210119,tablet,Android,12
20210119,mobile,<Other>,2
20210120,desktop,Web,1710
20210120,mobile,Web,1008
20210120,desktop,Windows,553
20210120,mobile,iOS,490
20210120,mobile,Android,385
20210120,desktop,Macintosh,362
20210120,desktop,<Other>,122
20210120,tablet,Web,57
20210120,tablet,iOS,21
20210120,tablet,Android,19
20210121,desktop,Web,1696
20210121,mobile,Web,934
20210121,desktop,Windows,540
20210121,mobile,iOS,521
20210121,mobile,Android,412
20210121,desktop,Macintosh,323
20210121,desktop,<Other>,101
20210121,tablet,Web,63
20210121,tablet,iOS,32
20210121,tablet,Android,17
20210122,desktop,Web,1462
20210122,mobile,Web,824
20210122,desktop,Windows,495
20210122,mobile,iOS,412
20210122,mobile,Android,333
20210122,desktop,Macintosh,327
20210122,desktop,<Other>,107
20210122,tablet,Web,41
20210122,tablet,iOS,20
20210122,tablet,Android,10
20210123,desktop,Web,1115
20210123,mobile,Web,656
20210123,desktop,Windows,357
20210123,mobile,iOS,345
20210123,mobile,Android,256
20210123,desktop,Macintosh,219
20210123,desktop,<Other>,71
20210123,tablet,Web,34
20210123,tablet,iOS,19
20210123,tablet,Android,16
20210124,desktop,Web,1126
20210124,mobile,Web,576
20210124,desktop,Windows,338
20210124,mobile,iOS,290
20210124,mobile,Android,236
20210124,desktop,Macintosh,215
20210124,desktop,<Other>,78
20210124,tablet,Web,31
20210124,tablet,iOS,23
20210124,tablet,Android,15
20210125,desktop,Web,1441
20210125,mobile,Web,763
20210125,desktop,Windows,436
20210125,mobile,iOS,433
20210125,mobile,Android,319
20210125,desktop,Macintosh,281
20210125,desktop,<Other>,100
20210125,tablet,Web,44
20210125,tablet,iOS,26
20210125,tablet,Android,17
20210125,mobile,<Other>,2
20210126,desktop,Web,1425
20210126,mobile,Web,829
20210126,desktop,Windows,515
20210126,mobile,iOS,433
20210126,mobile,Android,330
20210126,desktop,Macintosh,309
20210126,desktop,<Other>,116
20210126,tablet,Web,59
20210126,tablet,iOS,18
20210126,tablet,Android,14
20210127,desktop,Web,1577
20210127,mobile,Web,869
20210127,desktop,Windows,480
20210127,mobile,iOS,454
20210127,desktop,Macintosh,349
20210127,mobile,Android,333
20210127,desktop,<Other>,116
20210127,tablet,Web,51
20210127,tablet,iOS,26
20210127,tablet,Android,16
20210128,desktop,Web,1486
20210128,mobile,Web,831
20210128,desktop,Windows,481
20210128,mobile,iOS,432
20210128,mobile,Android,352
20210128,desktop,Macintosh,301
20210128,desktop,<Other>,99
20210128,tablet,Web,40
20210128,tablet,iOS,25
20210128,tablet,Android,9
20210129,desktop,Web,1339
20210129,mobile,Web,783
20210129,desktop,Windows,425
20210129,mobile,iOS,408
20210129,desktop,Macintosh,310
20210129,mobile,Android,287
20210129,desktop,<Other>,103
20210129,tablet,Web,49
20210129,tablet,iOS,21
20210129,tablet,Android,14
20210129,tablet,Windows,2
20210130,desktop,Web,1040
20210130,mobile,Web,557
20210130,mobile,iOS,324
20210130,desktop,Windows,304
20210130,mobile,Android,236
20210130,desktop,Macintosh,213
20210130,desktop,<Other>,64
20210130,tablet,Web,33
20210130,tablet,iOS,27
20210130,tablet,Android,8
20210130,tablet,Windows,1
20210131,desktop,Web,970
20210131,mobile,Web,595
20210131,desktop,Windows,311
20210131,mobile,iOS,283
20210131,mobile,Android,234
20210131,desktop,Macintosh,221
20210131,desktop,<Other>,73
20210131,tablet,Web,37
20210131,tablet,iOS,26
20210131,tablet,Android,7
20210131,tablet,Windows,1
